logProt,logRvar
3.4250245,1.5342801
3.644002,1.4831592
3.296224,1.5854608
3.956055,1.4440448
3.1168184,1.3390538
3.8331134,1.2211533
3.8177617,1.3688445
3.5722098,1.3085644
3.5578942,1.4650853
3.689888,1.2725377
4.193143,1.3838154
3.390495,1.5884959
3.1343975,1.426023
4.0758767,1.0856473
3.33791,1.2664669
3.5431838,1.4320067
2.9374611,1.7179201
2.9639392,1.4674602
4.0782633,1.3055663
3.1468499,1.6697816
4.0370135,1.3688445
3.219226,1.6156344
3.4927795,1.5102769
3.335622,1.6487502
3.2894359,1.5162709
3.9720225,1.1218879
3.4593897,1.3236645
3.901381,1.0856473
3.219974,1.627673
3.546884,1.5764565
3.3311913,1.6246945
3.6157238,1.3988078
3.1302364,1.6065962
3.8475125,1.5403295
3.602664,1.2121875
3.9894571,1.4048337
3.37467,1.3688445
3.885178,1.2273724
3.3246114,1.4410664
3.2913537,1.3565995
3.3378386,1.2787536
3.0855556,1.5794406
4.01947,1.0437552
4.115268,1.3144993
3.8414032,1.2121875
3.6049654,1.422918
3.756711,1.2033049
3.655816,1.11294
4.3064194,1.278525
4.550329,0.9020029
4.078814,1.3326404
3.87929,1.1401937
4.0892982,1.1248301
3.5027225,1.4380674
4.1063585,1.281488
3.6824012,1.2755417
3.1786895,1.6396856
3.8630896,1.1852587
3.6655054,1.6065962
3.4122584,1.5524249
2.8964047,1.6516656
3.8393166,1.1821293
3.4463031,1.6156344
3.8846266,1.1099159
3.2139754,1.5644293
2.94243,1.335859
3.0556858,1.6547539
3.4514987,1.2875777
3.2439227,1.6065962
3.2091112,1.6095945
3.288672,1.5342801
3.313354,1.6366885
3.2222857,1.5223138
3.3551903,1.5041989
3.5415225,1.2427897
3.497272,1.2092469
2.722252,1.5763414
3.5373318,1.1975563
3.2379975,1.6065962
4.355667,1.3326404
4.184358,1.4680518
3.1758425,1.3336488
3.9748714,1.4019172
3.2684557,1.5344069
3.1448083,1.5554572
3.5742385,1.5313512
3.6106038,1.1328998
3.2538779,1.2664669
3.3363993,1.3506356
4.0288005,1.3958504
3.0982828,1.6667987
3.6412113,1.3144993
3.973342,0.38381538
3.25818,1.5493711
3.2074046,1.5404546
4.0419297,1.3747483
4.2179666,1.450095
2.9599786,1.2245331
4.1616793,1.3596457
3.2664468,1.5162709
3.9730585,1.4048337
3.323057,1.2995073
3.3191133,1.4740705
3.5197406,1.6517625
3.038324,1.1041455
3.3496385,1.2904798
3.955445,1.3537239
3.006599,1.6487502
3.636165,1.1975563
2.997743,1.4530123
3.2423675,1.618571
3.5898921,1.4831592
4.3267956,1.3747483
3.7219455,1.3205616
3.7180147,1.1068705
3.2101045,1.5282738
3.8480148,1.3085644
4.0843215,1.422918
3.8862262,1.1218879
3.4242594,1.5673794
3.8835115,1.4831592
2.8448558,1.306425
3.8260605,1.4590908
2.6614747,1.6337713
3.8622005,1.3688445
4.989588,0.8299467
4.536146,0.99563515
3.2772768,1.4976207
3.9206793,1.1640553
3.7248669,1.2033049
3.0085597,1.6426623
3.4236174,1.627673
3.2703733,1.5764565
3.2071235,1.6095945
3.293953,1.5673794
3.168128,1.5403295
4.288169,0.99255353
3.463024,1.4680518
3.901873,1.3205616
4.2707586,0.9894498
3.4831228,1.6065962
3.4102592,1.4440448
3.7857835,1.1189257
3.7576313,1.2033049
4.0947194,1.0107238
3.226364,1.5704261
4.072207,1.1398791
4.1602635,1.2725377
3.232535,1.4922014
4.0253015,1.1852587
3.9362314,1.3416324
4.097299,1.3265407
3.325079,1.6366885
4.2274094,1.426023
3.7971673,1.2003032
3.8975494,1.4320067
4.298879,1.0166155
3.5940123,1.2935835
3.755227,1.1880844
3.9183128,1.4560622
3.2453046,1.5524249
3.35494,1.5915098
4.731105,0.9986952
3.1390269,1.4019172
3.923992,1.3506356
3.7079964,1.4740705
3.3129292,1.6487502
4.0608525,1.1159432
3.3629284,1.507181
3.3906004,1.6005373
3.6568203,1.224274
3.1224654,1.4861469
3.8219416,1.3176455
3.8283432,1.1309767
3.7159245,1.5342801
3.6330657,1.426023
3.4233408,1.1451964
4.5937643,0.622214
3.4739974,1.4470029
3.989914,1.1702617
3.1654894,1.2127202
3.5289001,1.41397
3.3241515,1.5403295
2.944131,1.4892552
4.613099,0.63748974
3.4263213,1.6366885
3.969324,1.2153732
4.0649962,1.4891144
3.8354104,1.2513949
3.716582,1.5132176
3.881936,1.0888445
3.8582883,1.4831592
4.0090466,1.0916669
3.1583006,1.627673
3.7093382,1.0648322
3.473977,1.2092469
4.2024956,1.2574385
3.4830062,1.3386557
4.53589,0.74272513
3.771566,1.3326404
3.5516992,1.1852587
3.3992028,1.2513949
4.110629,1.3656751
3.1242175,1.6336704
3.1326416,1.618571
3.8235295,1.2904798
3.4314375,1.4410664
4.1502075,1.0107238
4.3229523,1.450095
3.488655,1.5373152
4.4295278,1.146128
3.2289588,1.5559405
3.800806,1.3807538
4.131963,1.100715
3.9899087,1.0888445
3.5991607,1.3567904
3.1245365,1.612572
3.9125345,1.1792644
3.6431348,1.3988078
3.2948654,1.4951279
3.959042,1.23325
3.1525726,1.4892552
4.0944405,1.1218879
2.698684,1.564666
